Value,Year
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.459716796875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.460205078125,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.46044921875,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
271.4599609375,1979
